Codigo Municipio,Total impuestos (Millones euros)
06004,0.9715230399999999
07004,0.0
07004,1.55104233
08004,0.0
08004,0.13131
10004,0.30224990999999996
11004,58.032475
12004,5.410059230000001
13004,0.0
14004,0.52645401
15004,1.7824361299999998
16004,0.066
17004,0.0
17004,0.207
18004,0.12401628999999999
19004,0.020395
20004,0.061775
21004,0.50228098
22004,0.0
22004,0.0377
23004,0.204025
24004,0.130123
25004,0.0
25004,0.2104
26004,0.047222339999999995
27004,0.2506
28004,4.02375491
29004,0.0995
30004,0.2626717
31004,0.0099
32004,0.735
33004,27.285422
34004,2.37626958
35004,25.75
36004,1.9997
37004,0.006615
38004,190.4502
38004,2.9958
39004,0.25540883999999997
40004,0.1934
41004,27.3762175
42004,1.23216829
43004,0.0
43004,4.6629181399999995
44004,0.1212
45004,0.165337
46004,0.95
47004,0.3559
48004,0.0574
49004,0.042631
50004,0.0
50004,0.14900017000000002
01005,0.0
02005,0.17537345999999998
03005,3.4348142599999996
04005,0.06911535
05005,0.0335
06005,0.575
07005,12.387
08005,0.0
08005,5.27
10005,0.068
11005,1.0035233399999999
12005,6.10984149
13005,13.46145393
14005,2.76880378
15005,9.958654880000001
16005,0.0521
17005,0.0
17005,0.466604
18005,0.078285
19005,0.0
20005,0.32822726
21005,13.058525
22005,0.0
23005,10.20668295
24005,0.0735
25005,0.0
25005,0.085
26005,1.07285278
27005,0.951
28005,97.81
29005,2.35523529
30005,10.58264259
31005,0.0802
32005,0.15357213
33005,0.59271419
34005,0.0
35005,0.08872754
36005,2.25452647
37005,0.02545076
38005,1.5464318899999998
39005,0.7380275
40005,0.02230698
41005,3.105
43005,0.0
43005,1.698
44005,0.016975
45005,0.15014311
46005,8.91
47005,0.1905
48005,0.023796
49005,0.0
50005,0.0
50005,0.13
01006,0.0
01006,0.0
02006,0.23682250999999999
03006,0.32
04006,2.878
06006,1.1522885600000001
07006,4.788
08006,0.0
08006,7.02033839
09006,0.021
10006,0.236
11006,12.881
12006,0.090433
13006,0.0
14006,0.368701
15006,1.73368301
16006,0.06
17006,0.0
17006,1.5368
18006,1.28199874
19006,0.0
20006,0.0551
21006,0.27817806
22006,0.0
22006,0.62215853
23006,1.185
24006,0.173703
25006,0.0
25006,0.1017
26006,0.905
27006,0.505477
28006,80.60062575
29006,0.11701703
30006,0.5137637700000001
31006,0.6925726600000001
32006,0.366
33006,0.353669
34006,0.0251
35006,8.942005009999999
36006,2.096
37006,0.019638
38006,29.978156
39006,1.9605
40006,0.0
41006,0.877
42006,0.128
43006,0.0
43006,0.2266
44006,0.0
45006,0.471
46006,2.779
47006,0.0523
48006,0.0686
49006,0.0
50006,0.0
50006,0.199
01007,0.0
02007,0.0
03007,0.06402
04007,0.56988803
05007,0.05426811
06007,0.331
07007,0.24521189999999998
08007,0.0
08007,3.60919467
09007,0.032
10007,0.0911
11007,7.37953763
12007,0.1835
13007,0.23214959
14007,5.88470966
15007,0.49220089
16007,0.3715
17007,0.0
17007,0.7155376600000001
18007,0.12564916
19007,0.144465
20007,0.1488
21007,2.76725
22007,0.0
22007,0.23099074
23007,0.998
24007,0.129588
25007,0.0
25007,0.354
26007,0.181859
27007,0.5470006
28007,81.5465
29007,14.158
30007,2.21442819
31007,0.047239
32007,0.2402
33007,0.40439
35007,0.09612739999999999
36007,0.24732972
37007,0.18532745
38007,0.40766465999999996
39007,0.11976919999999999
40007,0.0
41007,4.910726690000001
42007,0.0451
43007,0.0
43007,0.17431433
44007,0.0
45007,0.45033553000000004
