Codigo Municipio,Superficie Km2,Densidad Poblacion
08163,10.3,2528.16
08164,9.51,120.4
08165,18.55,122.32
08166,51.52,25.14
08167,8.81,906.24
08168,25.78,22.19
08169,33.64,1887.6
08170,26.02,20.45
08171,13.45,198.96
08172,1.96,14443.88
08174,0.65,807.69
08175,46.16,94.17
08176,31.53,6.6
08177,37.94,1.74
08178,45.46,11.53
08179,17.85,41.34
08180,4.4,8488.18
08181,36.76,280.28
08182,27.46,136.23
08183,2.23,2758.3
08184,32.17,2299.63
08185,48.02,4.62
08187,37.53,5534.8
08188,44.85,3.12
08189,22.03,7.44
08190,66.97,4.84
08191,65.3,105.54
08192,16.75,428.96
08193,17.81,71.93
08194,3.9,8758.21
08195,13.6,7.06
08196,5.64,4803.9
08197,11.86,877.4
08198,13.92,399.07
08199,34.66,27.78
08200,22.02,3762.94
08201,20.05,26.08
08202,65.42,259.08
08203,15.82,216.56
08204,10.78,362.43
08205,48.21,1728.62
08206,6.29,157.71
08207,10.65,236.24
08208,18.48,402.54
08209,13.21,637.47
08210,15.03,398.54
08211,11.98,3597.33
08212,23.04,29.04
08213,22.12,370.61
08214,8.98,979.29
08215,0.9,3941.11
08216,21.28,0.89
08217,5.62,5766.19
08218,16.37,657.73
08219,3.96,5010.1
08220,16.2,184.2
08221,7.79,2086.39
08222,19.43,128.26
08223,41.17,58.59
08224,25.89,41.71
08225,14.72,7.4
08226,39.01,29.92
08227,35.28,90.62
08228,3.87,97.16
08229,102.32,6.27
08230,6.5,1564.31
08231,40.88,704.09
08232,5.34,446.07
08233,55.0,44.05
08234,34.45,123.54
08235,7.44,681.45
08236,13.84,155.13
08237,8.16,269.73
08238,14.46,1317.5
08239,25.89,25.53
08240,18.95,651.45
08241,30.69,3.1
08242,13.35,23.3
08243,8.66,21.02
08244,7.44,1065.99
08245,7.09,17041.47
08246,6.98,328.65
08247,13.9,80.79
08248,13.97,495.42
08249,3.31,123.26
08250,27.7,354.22
08251,17.43,403.33
08252,8.2,3906.46
08253,24.93,6.42
08254,62.05,35.71
08255,51.71,3.31
08256,4.44,189.41
08257,25.3,5.53
08258,65.95,16.16
08259,16.95,536.7
08260,15.68,1615.5
08261,12.62,262.84
08262,17.39,524.78
08263,9.28,3032.0
08264,7.9,741.01
08265,6.59,310.93
08266,30.86,1887.46
08267,28.45,295.5
08268,47.11,27.66
08269,30.51,111.83
08270,43.7,654.85
08271,13.79,6.38
08272,30.86,5.8
08273,55.92,54.99
08274,23.61,264.93
08275,18.9,16.24
08276,43.5,7.22
08277,29.29,5.29
08278,27.36,225.91
08279,70.12,3047.59
08280,32.79,4.33
08281,6.72,916.96
08282,7.95,1002.89
08283,16.5,492.06
08284,84.52,189.0
08285,13.52,1030.4
08286,14.95,253.91
08287,23.72,58.94
08288,37.04,66.25
08289,13.68,413.82
08290,7.46,255.23
08291,40.5,152.47
08292,6.43,222.86
08293,28.06,9.59
08294,22.18,117.99
08295,23.85,604.15
08296,10.62,225.61
08297,38.97,4.44
08298,30.79,1328.35
08299,22.23,22.9
08300,20.08,367.33
08301,20.06,3227.17
08302,10.48,1205.34
08303,58.03,5.77
08304,9.38,117.59
08305,19.92,1947.04
08306,5.85,114.53
08307,33.87,1975.35
08308,67.21,2.65
08901,49.08,6.3
08902,15.52,320.55
08903,11.65,22.58
08904,0.93,14669.89
08905,5.39,560.11
09001,35.07,0.83
09003,10.28,24.51
09006,17.95,3.79
09007,9.45,6.67
09009,12.36,16.99
09010,8.33,4.44
09011,51.69,1.88
09012,34.39,3.26
09013,8.22,6.93
09014,139.85,1.44
09016,12.51,7.99
09017,13.44,10.79
09018,127.28,261.07
09019,26.68,6.75
09020,57.1,6.13
09021,18.5,3.73
09022,13.59,6.7
09023,31.44,42.33
09024,27.99,6.72
09025,7.02,25.36
09026,77.74,5.47
09027,12.25,4.57
09029,24.78,8.31
09030,41.68,3.62
09032,36.89,3.44
09033,21.39,5.52
09034,64.37,5.33
09035,36.52,10.46
09036,15.44,2.2
09037,64.16,1.93
09038,15.19,10.66
09039,20.76,3.85
09041,3.88,9.02
09043,46.72,4.73
09044,23.49,2.6
09045,120.67,2.61
09046,7.76,5.28
09047,10.23,7.33
09048,133.41,16.04
09050,33.4,2.19
09051,15.71,12.67
09052,7.84,5.36
09054,33.25,3.37
09055,21.08,3.08
09056,81.2,94.54
09057,9.93,19.03
09058,13.28,35.17
09059,107.06,1674.3
09060,18.56,10.4
09061,26.57,7.9
09062,19.83,2.92
09063,12.98,21.42
09064,47.63,10.58
09065,23.92,8.11
09066,13.24,5.06
09067,29.53,18.86
09068,3.14,9.24
09070,24.03,1.91
09071,42.66,1.2
09072,25.68,13.9
09073,9.21,125.84
09074,12.19,77.93
09075,11.28,13.03
09076,13.26,1.96
09077,7.92,5.05
09078,6.81,6.17
09079,9.93,5.24
09082,4.95,10.91
09083,13.98,2.29
09084,14.45,15.78
09085,26.42,24.38
09086,22.54,32.3
09088,17.44,4.01
09090,22.05,2.95
09091,136.07,6.42
09093,13.47,14.55
