Codigo Municipio,Nº edificios,Nº Inmuebles
03034,1630.0,2090.0
03035,505.0,563.0
03036,58.0,59.0
03037,275.0,427.0
03038,330.0,350.0
03039,96.0,99.0
03040,280.0,298.0
46063,895.0,1322.0
46064,321.0,347.0
46065,451.0,946.0
46066,442.0,645.0
46067,685.0,1207.0
03041,8160.0,11236.0
43026,474.0,587.0
46068,264.0,307.0
46069,115.0,122.0
03042,3140.0,4351.0
04026,122.0,125.0
04027,296.0,307.0
12029,716.0,833.0
10027,113.0,117.0
06018,894.0,960.0
04028,198.0,226.0
24016,352.0,409.0
31250,672.0,1929.0
48016,864.0,3084.0
01014,256.0,298.0
22246,105.0,106.0
20022,310.0,477.0
42034,75.0,79.0
22055,279.0,335.0
09050,112.0,114.0
