Codigo Municipio,Total Contratos,Contratos Hombres,Contratos Mujeres
09195,8,8,0
09196,14,12,2
09197,75,50,25
09198,29,13,16
09199,59,38,21
09200,30,16,14
09201,10,8,2
09202,0,0,0
09206,0,0,0
09208,11,11,0
09209,783,393,390
09211,197,101,96
09213,28,15,13
09214,94,46,48
09215,20,15,5
09216,49,25,24
09217,29,17,12
09218,76,50,26
09219,7601,4290,3311
09220,3,3,0
09221,37,20,17
09223,3,2,1
09224,13,7,6
09225,8,6,2
09226,1,0,1
09227,66,37,29
09228,26,21,5
09229,18,13,5
09230,18,8,10
09231,0,0,0
09232,12,5,7
09235,110,98,12
09236,2,2,0
09238,326,94,232
09239,6,3,3
09241,14,10,4
09242,3,3,0
09243,3,3,0
09244,14,13,1
09246,108,25,83
09247,3,3,0
09248,2,2,0
09249,4,3,1
09250,12,3,9
09251,136,61,75
09253,45,18,27
09255,7,5,2
09256,628,496,132
09257,1,1,0
09258,45,38,7
09259,8,6,2
09261,105,63,42
09262,13,11,2
09265,7,3,4
09266,54,24,30
09267,3,1,2
09268,6,5,1
09269,4,3,1
09270,17,15,2
09272,45,26,19
09273,4,4,0
09274,101,55,46
09275,3,2,1
09276,29,14,15
09277,6,5,1
09279,68,53,15
09280,3,3,0
09281,111,85,26
09283,1,0,1
09287,100,72,28
09288,38,9,29
09289,289,108,181
09292,2,1,1
09294,4,3,1
09295,1,1,0
09297,12,11,1
09298,8,4,4
09301,24,20,4
09302,3,1,2
09303,1,1,0
09304,12,4,8
09306,9,6,3
09307,48,31,17
09308,0,0,0
09309,79,61,18
09310,0,0,0
09311,5,4,1
09312,36,33,3
09314,20,17,3
09315,13,10,3
09316,19,16,3
09317,0,0,0
09318,5,3,2
09321,2227,1475,752
09323,5,4,1
09325,7,4,3
09326,51,28,23
09327,5,5,0
09328,14,14,0
09329,18,11,7
09330,1054,491,563
09332,22,16,6
09334,4,2,2
09335,1,0,1
09337,10,7,3
09338,27,18,9
09339,26,18,8
09340,15,5,10
09343,3,2,1
09345,17,9,8
09346,10,8,2
09347,212,57,155
09348,4,4,0
09350,49,23,26
09351,0,0,0
09352,7,6,1
09353,8,6,2
09354,8,6,2
09355,6,4,2
09356,0,0,0
09358,100,36,64
09360,14,8,6
09361,34,29,5
09362,37,14,23
